1.772e+09,1772003250475387654,1,79.746,1.95,0,0,0,-1.5708,0,-1.5708,0,0,0,0,0,0,0,0,0,-2.3,-1.1,-1.2,-1.2,0.5,0.000618328,-1.22237,-2.06681,0.711606,-2.199,0.921307,-0.00123666,0.986335,1.93362,-0.681612,1.998,-0.842614,
1.772e+09,1772003250713019490,1,67.446,1.79579,0,0,1.05411e-05,-1.6294,-0.0442662,-1.5125,-0.0684295,0.0788419,0.000129182,-0.674226,-0.515221,0.670833,-0.784241,0.900101,0,-2.3,-1.1,-1.2,-1.2,0.5,-1.9858e-05,-1.26382,-1.98965,0.588966,-2.13124,0.793721,1.86339e-05,1.18645,1.86784,-0.552929,1.99933,-0.745126,
1.772e+09,1772003250961188672,1,65.578,1.19628,0,0,1.08139e-05,-1.89917,-0.277325,-1.35762,-0.402273,0.286313,-3.74021e-05,-1.26383,-1.40264,0.588966,-1.87587,0.79445,0,-2.3,-1.1,-1.2,-1.2,0.5,-2.03801e-05,-0.755413,-1.55043,0.29705,-1.50341,0.402723,1.91323e-05,0.709164,1.4555,-0.278863,1.41136,-0.378073,
1.772e+09,1772003251208752377,1,63.179,0.502858,0,0,5.36902e-06,-2.16117,-0.674188,-1.2498,-0.872211,0.436521,-1.29158e-05,-0.755325,-1.55043,0.297388,-1.50353,0.40264,0,-2.3,-1.1,-1.2,-1.2,0.5,-1.01177e-05,-0.261643,-0.802492,0.0938514,-0.617756,0.119685,9.49743e-06,0.245624,0.75336,-0.0881054,0.579933,-0.112412,
1.772e+09,1772003251447450828,1,51.788,0.0826965,0,0,1.65466e-06,-2.28704,-0.988171,-1.20881,-1.1744,0.493806,-1.70281e-05,-0.261721,-0.822094,0.0935372,-0.77259,0.119743,0,-2.3,-1.1,-1.2,-1.2,0.5,0.00018287,-0.0242229,-0.210697,0.0168196,-0.0548366,0.00300415,-0.00036905,0.0225184,0.197737,-0.0160223,0.0584818,0.0063806,
1.772e+09,1772003251709020124,1,63.468,0.0517462,0,0,3.56876e-05,-2.31448,-1.12078,-1.19928,-1.26419,0.503279,0.00018699,-0.0242288,-0.210654,0.0168196,-0.054822,0.00297663,0,-2.3,-1.1,-1.2,-1.2,0.5,-6.74615e-05,0.0273471,0.0391645,-0.00136326,0.121007,-0.00618051,6.3548e-05,-0.0257272,-0.0367664,0.0012798,-0.113636,0.00580209,
1.772e+09,1772003251989832342,1,94.214,2.36325,0,1,3.57781e-05,-2.3114,-1.13464,-1.19844,-1.2494,0.502378,-6.53135e-05,0.0273417,0.0391645,-0.00143962,0.121008,-0.00615866,2,-1.6,-1.7,-1.7,-1.7,1,2.99996,1.34071,-1.06549,-0.945252,-0.849207,0.937826,-2,-1.25862,1.00026,0.88738,0.797215,-0.880408,
1.772e+09,1772003252231324271,1,85.786,2.23352,0,1,0.0489597,-2.25565,-1.17364,-1.24859,-1.2675,0.549928,0.613088,0.638742,-0.574169,-0.625297,-0.491501,0.609266,2,-1.6,-1.7,-1.7,-1.7,1,2.95104,1.23564,-0.991991,-0.850742,-0.815098,0.848212,-2,-1.15999,0.931257,0.798656,0.765194,-0.796281,
1.772e+09,1772003252468028702,1,72.477,1.55254,0,1,0.324798,-1.99416,-1.39728,-1.45565,-1.4563,0.75504,1.6098,1.23571,-0.991991,-0.849913,-0.814974,0.84812,2,-1.6,-1.7,-1.7,-1.7,1,2.6752,0.742842,-0.570507,-0.460505,-0.459283,0.461655,-2,-0.697357,0.535578,0.432311,0.431169,-0.43339,
1.772e+09,1772003252721475324,1,75.919,0.806134,0,1,0.86589,-1.73602,-1.59776,-1.62167,-1.61689,0.921539,2.62636,0.742888,-0.570507,-0.45967,-0.457578,0.461413,2,-1.6,-1.7,-1.7,-1.7,1,2.13331,0.256349,-0.192691,-0.147614,-0.156623,0.147869,-1.9984,-0.240654,0.180893,0.138576,0.147034,-0.138816,
1.772e+09,1772003252957873920,1,62.276,0.282901,0,1,1.46859,-1.60595,-1.6921,-1.69406,-1.69089,0.994503,2.13333,0.256328,-0.192691,-0.148194,-0.155987,0.147705,2,-1.6,-1.7,-1.7,-1.7,1,1.00153,0.0112133,-0.0148878,-0.0111362,-0.0171719,0.0103604,-0.940253,-0.0105266,0.0139755,0.0103998,0.0161206,-0.00972604,
1.772e+09,1772003253206416335,1,60.859,0.0583759,0,1,1.94227,-1.57856,-1.71216,-1.7089,-1.70747,1.00906,1.40474,0.0111899,-0.0148878,-0.0116195,-0.0180071,0.0104547,2,-1.6,-1.7,-1.7,-1.7,1,0.108792,-0.0404115,0.0229082,0.0167652,0.0140786,-0.0170755,-0.102131,0.0379374,-0.0215057,-0.0157373,-0.0132166,0.01603,
1.772e+09,1772003253449167398,1,53.582,0.103246,0,1,2.16241,-1.58486,-1.70912,-1.70677,-1.70631,1.00675,0.407693,-0.0404311,0.0229082,0.0163775,0.0131525,-0.0169553,2,-1.6,-1.7,-1.7,-1.7,1,-0.30608,-0.0285259,0.01719,0.0127515,0.0118964,-0.0127131,0.28734,0.0267799,-0.0161376,-0.0119708,-0.011168,0.0119347,
1.772e+09,1772003253709227061,1,63.667,0.0839983,0,1,2.14657,-1.59286,-1.70439,-1.70334,-1.7033,1.00326,-0.306068,-0.028567,0.0172187,0.0127515,0.0118868,-0.0127084,2,-1.6,-1.7,-1.7,-1.7,1,-0.276222,-0.0134499,0.00827863,0.0062957,0.00621825,-0.00614495,0.25931,0.0126266,-0.00777177,-0.00591019,-0.00583816,0.00576873,
1.772e+09,1772003253967822936,1,72.215,0.0426343,0,1,2.07663,-1.59718,-1.70176,-1.70137,-1.70139,1.00131,-0.276224,-0.0134878,0.00830198,0.0062957,0.00620864,-0.00612571,2,-1.6,-1.7,-1.7,-1.7,1,-0.144413,-0.00530697,0.00331215,0.00257408,0.00261556,-0.00247627,0.13557,0.00498206,-0.00310937,-0.00241648,-0.00245583,0.00232467,
1.772e+09,1772003254203479612,1,57.807,2.42583,0,0,2.02733,-1.59921,-1.7005,-1.7004,-1.70041,1.00038,-0.144376,-0.00530299,0.00331215,0.00252651,0.00253283,-0.00246526,0,-2.3,-1.1,-1.2,-1.2,0.5,-3.01366,-1.32071,1.13171,0.943061,0.943077,-0.94302,2,1.23985,-1.06242,-0.885322,-0.885338,0.885284,
1.772e+09,1772003254487939470,1,92.371,2.18533,0,0,1.92114,-1.67121,-1.62901,-1.62929,-1.63274,0.929691,-0.891878,-0.752521,0.750812,0.757255,0.712744,-0.743223,0,-2.3,-1.1,-1.2,-1.2,0.5,-2.92114,-1.18503,0.996977,0.809037,0.815555,-0.809803,2,1.11247,-0.935938,-0.759505,-0.765623,0.760223,
1.772e+09,1772003254737646590,1,92.077,1.41624,0,0,1.56269,-1.94989,-1.37747,-1.41176,-1.4173,0.713169,-1.90709,-1.18498,0.996977,0.809525,0.81466,-0.809729,0,-2.3,-1.1,-1.2,-1.2,0.5,-2.56269,-0.659814,0.522919,0.399083,0.40953,-0.401741,2,0.619418,-0.490904,-0.374649,-0.384457,0.377145,
1.772e+09,1772003254965387867,1,69.784,0.668865,0,0,0.983739,-2.19464,-1.17747,-1.25566,-1.25909,0.556415,-2.56269,-0.659856,0.522919,0.398751,0.409164,-0.401622,0,-2.3,-1.1,-1.2,-1.2,0.5,-1.85397,-0.198543,0.145999,0.10489,0.111368,-0.10632,1.74046,0.186365,-0.137065,-0.0984679,-0.104549,0.0998104,
